year,month,tsunami_event_validity,tsunami_cause_code,earthquake_magnitude,country,location_name,latitude,longitude,tsunami_intensity,total_deaths,total_damage_millions,total_houses_destroyed,total_injuries
1907,October,4.0,1.0,5.9,Italy,IONIAN CALABRIA,38.133,16.017,3.0,158.0,,,
1908,September,4.0,1.0,6.8,United States,HAWAII,19.0,-155.0,0.0,,,,
1909,March,4.0,1.0,6.7,Japan,OFF BOSO PENINSULA,34.5,141.5,,,,,
1909,March,4.0,1.0,7.5,Japan,OFF BOSO PENINSULA,34.5,141.5,,,,,
1909,August,4.0,1.0,6.9,Japan,"ANEGAWA, JAPAN",35.4,136.3,,41.0,,976.0,
1909,December,4.0,1.0,8.0,Usa Territory,"GUAM, MARIANA ISLANDS",12.5,145.0,,,,,
1911,June,4.0,1.0,8.0,Japan,RYUKYU ISLANDS,28.0,130.0,1.5,12.0,,422.0,
1913,October,4.0,1.0,7.0,Papua New Guinea,SOLOMON SEA,-7.0,148.0,,,,,
1914,May,4.0,1.0,8.1,Indonesia,NW. IRIAN JAYA,-1.829,136.943,2.0,,,,
1915,November,4.0,1.0,7.8,Japan,SANRIKU,38.3,142.9,0.5,,,,
1916,April,4.0,1.0,7.0,Panama,BOCAS DEL TORO,9.6,-82.0,,,0.025,,
1916,July,4.0,1.0,5.1,Italy,STROMBOLI ISLAND,38.817,15.233,4.0,,,,
1916,August,4.0,1.0,5.9,Italy,CENTRAL ADRIATIC,43.967,12.667,2.0,,,,
1917,May,4.0,1.0,8.0,New Zealand,KERMADEC ISLANDS,-29.2,-177.0,3.0,,,,
1917,May,4.0,1.0,5.8,"Taiwan, Province of China",TAIWAN,23.2,121.6,-0.5,,,,
1917,June,4.0,1.0,8.3,Samoa,SAMOA ISLANDS,-15.5,-173.0,3.0,2.0,,,
1918,August,4.0,1.0,8.3,Philippines,CELEBES SEA,5.5,123.0,2.5,52.0,,,
1918,September,4.0,1.0,8.2,Russian Federation,S. KURIL ISLANDS,45.5,151.5,3.0,23.0,,,7.0
1918,November,4.0,1.0,7.8,Russian Federation,S. KURIL ISLANDS,44.5,151.5,2.0,,,,
1918,December,4.0,1.0,7.8,Chile,NORTHERN CHILE,-26.0,-71.0,2.5,,,,
1919,April,4.0,1.0,8.1,Tonga,TONGA ISLANDS,-18.352,-172.515,1.5,,,,
1921,September,4.0,1.0,7.5,Indonesia,JAVA,-11.0,111.0,-2.0,,,,
1922,November,4.0,1.0,8.7,Chile,NORTHERN CHILE,-28.553,-70.755,2.5,700.0,,,
1923,February,4.0,1.0,8.3,Russian Federation,KAMCHATKA,54.0,161.0,,3.0,1.5,,
1923,April,4.0,1.0,7.2,Russian Federation,KAMCHATKA,56.5,162.5,3.5,18.0,,,
1923,June,4.0,1.0,7.3,Japan,"KASHIMA, JAPAN",35.4,141.8,-1.5,,,,
1923,September,4.0,1.0,7.9,Japan,SAGAMI BAY,35.1,139.5,3.0,142807.0,600.0,695000.0,47000.0
1923,September,4.0,1.0,7.7,Japan,RYUKYU ISLANDS,34.9,140.2,-1.5,,,,
1926,September,4.0,1.0,6.9,Solomon Islands,SOLOMON ISLANDS,-9.674,159.519,1.5,,,,
1927,June,4.0,1.0,6.0,Ukraine,"CRIMEA, BLACK SEA",44.4,34.4,2.0,,,,
1927,August,4.0,1.0,6.9,Japan,SANRIKU,37.9,142.0,,,,,
1927,August,4.0,1.0,6.4,Japan,"KASHIMA, JAPAN",34.2,142.0,,,,,
1927,September,4.0,1.0,6.8,Ukraine,"CRIMEA, BLACK SEA",44.4,34.5,2.0,11.0,,,122.0
1927,November,4.0,1.0,7.3,United States,S. CALIFORNIA,34.813,-120.774,1.0,,,,
1927,December,4.0,1.0,7.5,Russian Federation,KAMCHATKA,55.663,160.039,,,,,
1928,March,4.0,1.0,7.7,Mexico,MEXICO,15.67,-96.1,,,,,
1928,May,4.0,1.0,7.0,Japan,SANRIKU,40.0,143.2,-2.0,,,,
1928,June,4.0,1.0,7.7,Mexico,S. MEXICO,16.028,-97.036,1.0,4.0,,,
1929,January,4.0,1.0,6.9,"Venezuela, Bolivarian Republic of",CUMANA,10.6,-65.6,,50.0,,,800.0
1929,March,4.0,1.0,7.8,United States,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",50.88,-169.71,,,,,
1929,May,4.0,1.0,7.1,Japan,HIUGANADA,31.7,132.2,,,,,
1930,May,4.0,1.0,7.3,Myanmar,MYANMAR COAST,17.3,96.5,,500.0,,,
1930,October,4.0,1.0,5.9,Italy,CENTRAL ADRIATIC,43.667,13.267,4.0,18.0,,,
1930,December,4.0,1.0,6.5,Papua New Guinea,BISMARCK SEA,-1.3,144.3,1.5,27.0,,104.0,8.0
1931,March,4.0,1.0,7.6,Japan,SANRIKU,41.2,142.5,-1.0,,,,
1931,October,4.0,1.0,7.8,Solomon Islands,SAN CRISTOBAL ISLAND,-10.932,161.016,2.5,50.0,,,
1931,November,4.0,1.0,7.1,Japan,SEIKAIDO,32.2,132.1,,1.0,,14.0,
1932,June,4.0,1.0,8.1,Mexico,CENTRAL MEXICO,19.623,-103.919,2.0,400.0,,,120.0
1932,June,4.0,1.0,7.8,Mexico,CENTRAL MEXICO,19.081,-103.631,0.5,,,,
1932,June,4.0,1.0,7.7,Mexico,CENTRAL MEXICO,19.242,-104.383,1.5,75.0,,400.0,100.0
1933,March,4.0,1.0,8.4,Japan,SANRIKU,39.224,144.622,3.5,3022.0,,6000.0,
1933,June,4.0,1.0,7.1,Japan,SANRIKU,38.1,142.4,,,,,
1934,February,4.0,1.0,7.9,Philippines,SOUTH CHINA SEA,17.5,119.0,0.5,,,,
1934,November,4.0,1.0,7.0,Mexico,MEXICO,18.5,-105.5,,,,,
1935,July,4.0,1.0,6.5,Japan,JAPAN,36.6,141.4,,,,,
1935,October,4.0,1.0,7.2,Japan,SANRIKU,39.9,143.7,-1.0,,,,
1935,October,4.0,1.0,7.0,Japan,SANRIKU,40.7,144.3,-2.0,,,,
1936,April,4.0,1.0,7.7,Indonesia,SULAWESI,4.5,126.5,2.0,,,169.0,3.0
1936,July,4.0,1.0,7.3,Chile,NORTHERN CHILE,-24.5,-70.0,0.5,1.0,,,40.0
1936,November,4.0,1.0,7.7,Japan,SANRIKU,38.2,142.2,,,,,
1938,February,4.0,1.0,8.5,Indonesia,BANDA SEA,-5.25,130.5,1.5,,,24.0,
1938,May,4.0,1.0,7.6,Indonesia,MAKASSAR STRAIT,-1.0,120.0,,17.0,,942.0,
1938,May,4.0,1.0,7.1,Japan,JAPAN TRENCH,36.7,141.4,,,,,
1938,May,4.0,1.0,6.1,Japan,E. HOKKAIDO ISLAND,43.6,144.3,,1.0,,7.0,
1938,June,4.0,1.0,7.6,Japan,RYUKYU ISLANDS,25.321,125.115,0.0,,,,
1938,November,4.0,1.0,7.7,Japan,SANRIKU,37.1,141.7,-0.5,1.0,,20.0,
1938,November,4.0,1.0,7.6,Japan,SANRIKU,37.2,141.7,-0.5,,,,
1938,November,4.0,1.0,7.5,Japan,OFF FUKUSHIMA PREFECTURE,37.5,141.8,-0.5,,,,
1938,November,4.0,1.0,7.1,Japan,OFF FUKUSHIMA PREFECTURE,37.0,141.7,-0.5,,,,
1938,November,4.0,1.0,8.2,United States,"SHUMAGIN ISLANDS, AK",55.48,-158.37,,,,,
1938,November,4.0,1.0,6.0,Japan,SANRIKU,37.0,141.5,-1.5,,,,
1938,November,4.0,1.0,6.9,Japan,SANRIKU,36.7,142.1,-2.5,,,,
1938,November,4.0,1.0,7.0,Japan,SANRIKU,37.0,142.2,-3.0,,,,
1939,March,4.0,1.0,6.6,Japan,SEIKAIDO,32.3,132.0,0.0,1.0,,1.0,
1939,May,4.0,1.0,7.0,Japan,NW. HONSHU ISLAND,40.1,139.5,0.0,27.0,,479.0,52.0
1939,May,4.0,1.0,6.7,Portugal,AZORES,37.198,-24.356,1.0,,,,
1939,December,4.0,1.0,7.7,Turkey,SOUTH BLACK SEA,39.77,39.533,4.0,32700.0,20.0,120000.0,100000.0
1940,August,4.0,1.0,7.5,Japan,W. HOKKAIDO ISLAND,44.2,139.5,1.5,10.0,,20.0,
1941,January,4.0,1.0,7.4,Papua New Guinea,BISMARCK SEA,-4.175,152.071,-2.5,4.0,,1.0,
1941,June,4.0,1.0,8.0,India,"ANDAMAN SEA, E. COAST INDIA",11.94,92.626,,,,,
1941,November,4.0,1.0,7.4,Japan,SEIKAIDO,32.0,132.1,0.0,2.0,,27.0,
1941,November,4.0,1.0,7.8,Atlantic Ocean,AZORES GIBRALTAR FRACTURE ZONE,37.301,-18.966,2.0,,,,
1941,December,4.0,1.0,7.6,Costa Rica,COSTA RICA-PANAMA,8.7,-83.2,-3.0,6.0,,,
1941,December,4.0,1.0,6.9,Costa Rica,COSTA RICA-PANAMA,8.5,-84.0,-4.0,,,,
1943,April,4.0,1.0,8.2,Chile,CENTRAL CHILE,-30.75,-72.0,,11.0,,,
1943,June,4.0,1.0,7.1,Japan,SE. HOKKAIDO ISLAND,41.2,143.3,-0.5,,,,
1944,December,4.0,1.0,8.1,Japan,OFF SOUTHEAST COAST KII PENINSULA,34.0,137.1,2.5,1223.0,,29205.0,2135.0
1945,January,4.0,1.0,7.1,Japan,TOKAIDO,34.7,137.2,-0.5,2306.0,,7221.0,896.0
1945,February,4.0,1.0,7.3,Japan,SANRIKU,40.9,142.1,-1.5,2.0,,2.0,
1946,August,4.0,1.0,7.9,Dominican Republic,NORTHEASTERN COAST,19.25,-69.0,,1790.0,,,
1946,August,4.0,1.0,7.5,Dominican Republic,NORTHEASTERN COAST,19.5,-69.5,,75.0,,,
1946,December,4.0,1.0,8.1,Japan,HONSHU: S COAST,33.0,135.6,2.5,1362.0,,11661.0,
1947,May,4.0,1.0,6.9,New Zealand,OFF COAST OF NORTH ISLAND,-38.42,178.88,,,,,
1947,November,4.0,1.0,7.0,Japan,W. HOKKAIDO ISLAND,43.8,141.0,1.0,,,,
1948,February,4.0,1.0,7.3,Greece,"DODECANESE, KARPATHOS IS.",35.64,27.158,4.0,,,,
1948,April,4.0,1.0,7.2,Japan,TOKAIDO,33.1,135.6,-1.0,,,,
1948,April,4.0,1.0,6.5,Greece,IONIAN SEA,38.532,20.427,4.0,2.0,,244.0,45.0
1948,September,4.0,1.0,7.8,Tonga,TONGA TRENCH,-21.0,-174.0,1.5,,,,
1949,January,4.0,1.0,5.9,Russian Federation,KAMCHATKA,54.6,163.5,,,,,
1949,October,4.0,1.0,7.5,Papua New Guinea,SOLOMON SEA,-5.5,154.0,-1.0,,,,
1950,October,4.0,1.0,7.7,Costa Rica,COSTA RICA-NICARAGUA,11.0,-85.0,-2.0,,,,
1950,October,4.0,1.0,7.5,Guatemala,GUATEMALA,14.31,-91.917,-1.0,,,,
1950,December,4.0,1.0,7.5,Mexico,S. MEXICO,16.48,-98.22,,,,,
1951,August,4.0,1.0,6.9,United States,HAWAII,19.5,-156.0,0.5,,,,
1951,October,4.0,1.0,7.3,"Taiwan, Province of China",TAIWAN,23.8,121.7,,68.0,,2382.0,586.0
1952,March,4.0,1.0,8.1,Japan,SE. HOKKAIDO ISLAND,42.15,143.85,2.0,33.0,,2422.0,572.0
1952,March,4.0,1.0,7.0,Japan,SE. HOKKAIDO ISLAND,41.7,143.6,-2.0,,,113.0,17.0
1952,March,4.0,1.0,4.5,United States,HAWAII,19.1,-155.0,0.0,,,,
1952,March,4.0,1.0,7.8,Philippines,"E. OF MINDANO, PHILIPPINES",9.5,127.25,,,,,
1952,November,4.0,1.0,9.0,Russian Federation,KAMCHATKA,52.755,160.057,4.0,10000.0,1.0,,
1953,November,4.0,1.0,7.4,Japan,"KASHIMA, JAPAN",34.0,141.7,1.5,1.0,,,
1953,December,4.0,1.0,7.4,Peru,N. PERU,-3.4,-80.6,0.5,6.0,,200.0,20.0
1954,November,4.0,1.0,6.1,Japan,"MIYAGI, JAPAN",38.9,142.2,-1.0,,,,
1955,April,4.0,1.0,7.1,Chile,CENTRAL CHILE,-30.0,-72.0,1.0,1.0,,,
1956,March,4.0,1.0,6.3,Japan,NE. HOKKAIDO ISLAND,44.3,144.1,-2.0,,,,
1956,July,4.0,1.0,7.7,Greece,CYCLADES,36.664,25.957,5.0,56.0,,,
1957,March,4.0,1.0,8.6,United States,"ANDREANOF ISLANDS, AK",51.292,-175.629,3.0,2.0,,,1.0
1957,July,4.0,1.0,7.9,Mexico,S. MEXICO,16.5,-99.1,0.5,65.0,25.0,,
1958,January,4.0,1.0,7.6,Ecuador,COLOMBIA-ECUADOR,1.5,-79.5,2.0,115.0,,,46.0
1958,November,4.0,1.0,8.3,Russian Federation,S. KURIL ISLANDS,44.53,148.54,2.5,,,,
1959,January,4.0,1.0,6.8,Japan,SANRIKU,37.5,142.2,-2.0,,,,
1959,May,4.0,1.0,8.2,Russian Federation,KAMCHATKA,52.5,159.5,1.0,,,,
1959,August,4.0,1.0,7.3,Solomon Islands,SOLOMON ISLANDS,-7.5,156.0,,,,,
1959,October,4.0,1.0,6.7,Japan,SANRIKU,37.5,143.2,-4.0,,,,
1960,March,4.0,1.0,7.5,Japan,SANRIKU,39.8,143.4,-2.0,,,,
1960,March,4.0,1.0,6.7,Japan,SANRIKU,39.4,143.7,-2.5,,,,
1960,May,4.0,1.0,8.2,Chile,CENTRAL CHILE,-37.872,-73.243,-1.0,,,,
1960,May,4.0,1.0,9.5,Chile,SOUTHERN CHILE,-38.143,-73.407,4.0,2226.0,1000.0,58622.0,3000.0
1960,July,4.0,1.0,6.7,Japan,SANRIKU,40.3,142.5,-3.0,,,,
1961,January,4.0,1.0,6.8,Japan,"KASHIMA, JAPAN",36.0,142.3,-2.0,,,,
1961,January,4.0,1.0,6.4,Japan,"KASHIMA, JAPAN",36.0,141.9,-2.0,,,,
1961,January,4.0,1.0,6.5,Japan,"KASHIMA, JAPAN",36.2,141.9,-2.0,,,,
1961,February,4.0,1.0,6.6,Russian Federation,S. KURIL ISLANDS,43.2,147.9,-0.5,,,,
1961,February,4.0,1.0,7.6,Japan,SEIKAIDO,31.6,131.8,-0.5,2.0,,170.0,7.0
1961,July,4.0,1.0,6.6,Japan,RYUKYU ISLANDS,29.6,131.8,-3.0,,,,
1961,August,4.0,1.0,7.0,Japan,SE. HOKKAIDO ISLAND,42.9,145.6,-4.0,,,,
1961,November,4.0,1.0,6.9,Japan,SE. HOKKAIDO ISLAND,42.7,145.7,-3.5,,,,
1962,April,4.0,1.0,7.2,Japan,SANRIKU,38.073,142.741,-2.0,,,,
1962,April,4.0,1.0,7.0,Japan,SE. HOKKAIDO ISLAND,42.2,143.9,-3.5,,,,
1962,May,4.0,1.0,7.0,Mexico,S. MEXICO,17.2,-99.6,0.0,4.0,,,
1963,February,4.0,1.0,7.3,"Taiwan, Province of China",E. TAIWAN-RYUKYU ISLANDS,24.4,122.1,-2.0,15.0,,,18.0
1963,September,4.0,1.0,6.2,Turkey,MARMARA SEA,40.698,29.159,3.0,1.0,,7.0,
1963,October,4.0,1.0,7.1,Russian Federation,S. KURIL ISLANDS,44.426,149.272,-2.0,,,,
1963,October,4.0,1.0,8.5,Russian Federation,S. KURIL ISLANDS,44.772,149.798,2.5,,,,
1963,October,4.0,1.0,7.9,Russian Federation,S. KURIL ISLANDS,44.772,150.563,3.0,,,,
1964,May,4.0,1.0,6.9,Japan,NW. HONSHU ISLAND,40.3,139.0,0.0,,,,
1964,June,4.0,1.0,7.5,Japan,NW. HONSHU ISLAND,38.65,139.2,2.0,26.0,80.0,2250.0,450.0
1964,July,4.0,1.0,6.8,Russian Federation,S. KURIL ISLANDS,47.159,153.876,-2.0,,,,
1964,December,4.0,1.0,6.3,Japan,NW. HONSHU ISLAND,40.4,138.9,-3.0,,,,
1965,January,4.0,1.0,7.6,Indonesia,SANANA ISLAND,-2.4,126.1,2.0,71.0,,3000.0,
1965,February,4.0,1.0,8.7,United States,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",51.29,178.55,2.5,,0.01,,
1965,March,4.0,1.0,7.6,United States,"RAT ISLANDS, ALEUTIAN ISLANDS, AK",50.32,177.93,-1.0,,,,
1965,June,4.0,1.0,7.2,Russian Federation,S. KURIL ISLANDS,44.7,148.7,-3.0,,,,
1965,July,4.0,1.0,6.5,United States,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",53.03,-167.55,-2.0,,,,
1965,August,4.0,1.0,7.0,Vanuatu,VANUATU ISLANDS,-15.8,167.2,2.5,,,,
1965,August,4.0,1.0,7.8,Mexico,MEXICO,16.3,-95.8,,6.0,,,
1966,July,4.0,1.0,5.5,Russian Federation,BLACK SEA,44.75,37.0,1.0,,,,
1966,October,4.0,1.0,8.1,Peru,CENTRAL PERU,-10.748,-78.638,1.5,110.0,35.0,,3000.0
1966,December,4.0,1.0,7.8,Chile,NORTHERN CHILE,-25.5,-70.7,0.5,3.0,0.4,,6.0
1966,December,4.0,1.0,7.8,Solomon Islands,SANTA CRUZ ISLANDS,-11.893,166.445,1.0,,,,
1966,December,4.0,1.0,7.2,Solomon Islands,SANTA CRUZ ISLANDS,-12.334,166.684,0.0,,,,
