year,month,tsunami_event_validity,tsunami_cause_code,earthquake_magnitude,country,location_name,latitude,longitude,tsunami_intensity,total_deaths,total_damage_millions,total_houses_destroyed,total_injuries
1802,December,4.0,1.0,6.6,Japan,NW. HONSHU ISLAND,37.7,138.3,,19.0,,1060.0,
1804,January,4.0,1.0,,Spain,ALBORAN SEA,36.833,-2.833,2.0,,,,
1804,July,4.0,1.0,7.3,Japan,NW. HONSHU ISLAND,39.05,139.95,1.0,450.0,,10810.0,
1805,July,4.0,1.0,6.6,Italy,CAMPANIA,41.5,14.467,2.0,,,,
1808,August,4.0,1.0,6.5,Japan,"E. AWA, TOKUSHIMA PREFECTURE",33.9,134.8,0.5,,,,
1810,September,4.0,1.0,6.6,Japan,NW. HONSHU ISLAND,39.9,139.9,0.0,57.0,,1084.0,
1818,February,4.0,1.0,6.0,Italy,EASTERN SICILY,37.6,15.133,3.0,72.0,,,
1819,April,4.0,1.0,8.5,Chile,NORTHERN CHILE,-27.0,-71.5,2.0,,,,
1820,May,4.0,1.0,7.6,Mexico,S. MEXICO,17.2,-99.6,1.5,,,,
1820,December,4.0,1.0,7.5,Indonesia,FLORES SEA,-7.0,119.0,3.5,500.0,,,
1821,January,4.0,1.0,6.5,Greece,IONIAN SEA,37.8,21.3,,,,,
1822,November,4.0,1.0,8.5,Chile,CENTRAL CHILE,-33.0,-72.0,2.0,72.0,,,200.0
1823,November,4.0,1.0,,Martinique (French Territory),SAINT PIERRE,14.4,-61.0,,,,,
1828,May,4.0,1.0,6.4,Japan,AMAKUSA SEA,32.6,129.9,,,,,
1833,November,4.0,1.0,8.3,Indonesia,SW. SUMATRA,-2.5,100.5,2.5,,,,
1833,December,4.0,1.0,7.4,Japan,NW. HONSHU ISLAND,38.9,139.15,2.5,85.0,,1140.0,
1834,February,4.0,1.0,6.4,Japan,W. HOKKAIDO ISLAND,43.3,141.4,1.0,,,73.0,
1835,February,4.0,1.0,8.2,Chile,CENTRAL CHILE,-36.83,-73.03,3.0,53.0,,,500.0
1835,July,4.0,1.0,7.6,Japan,SANRIKU,37.9,141.9,2.0,,,,
1837,November,4.0,1.0,8.5,Chile,SOUTHERN CHILE,-42.5,-74.0,3.0,16.0,,,
1841,May,4.0,1.0,8.4,Russian Federation,KAMCHATKA,52.0,158.0,3.0,,,,
1842,May,4.0,1.0,8.1,Haiti,CAP-HAITIAN,19.75,-72.2,,5300.0,,,
1843,January,4.0,1.0,7.3,Indonesia,SW. SUMATRA,1.5,98.0,2.0,,,,
1843,February,4.0,1.0,8.3,Guadeloupe (French Territory),POINTE-A-PITRE,16.5,-62.2,,5000.0,,,
1843,April,4.0,1.0,8.4,Japan,SE. HOKKAIDO ISLAND,42.0,146.0,2.5,45.0,,75.0,
1846,January,4.0,1.0,7.3,Indonesia,"TERNATE ISLAND, N. MOLUCCAS ISLANDS",2.0,126.5,0.5,,,,
1846,March,4.0,1.0,6.9,Japan,SANRIKU,39.5,142.5,1.0,,,,
1849,September,4.0,1.0,,Russian Federation,KAMCHATKA,55.0,166.0,,,,,
1849,November,4.0,1.0,7.5,Chile,CENTRAL CHILE,-29.95,-71.37,2.5,,,,
1852,November,4.0,1.0,8.3,Indonesia,BANDA SEA,-5.25,129.75,2.5,60.0,,,
1853,July,4.0,1.0,6.7,"Venezuela, Bolivarian Republic of",CUMANA,10.5,-64.2,,1000.0,,,
1854,December,4.0,1.0,8.3,Japan,ENSHUNADA SEA,34.0,137.9,3.0,1000.0,,8900.0,
1854,December,4.0,1.0,8.4,Japan,NANKAIDO,33.1,135.0,2.5,3000.0,,20000.0,
1855,February,4.0,1.0,,New Zealand,WHARANUI,-41.93,174.09,,,,,
1855,November,4.0,1.0,7.0,Japan,ENSHUNADA,34.5,137.6,,,,,
1855,November,4.0,1.0,7.0,Japan,TOKAIDO,35.65,139.8,,6757.0,,50000.0,
1856,August,4.0,1.0,8.0,Japan,SE. HOKKAIDO ISLAND,40.5,143.5,2.0,26.0,,193.0,
1857,May,4.0,1.0,7.0,Indonesia,BALI SEA,-8.0,115.5,2.0,36.0,,,
1857,July,4.0,1.0,6.4,Japan,TOKAIDO,34.8,138.3,,,,,
1859,June,4.0,1.0,7.0,Indonesia,N. MOLUCCAS ISLANDS,1.0,126.5,3.0,,,,
1859,July,4.0,1.0,7.3,Indonesia,N. MOLUCCAS ISLANDS,0.009,125.5,1.5,,,,
1859,October,4.0,1.0,7.6,Chile,NORTHERN CHILE,-27.35,-70.35,2.5,10.0,,339.0,
1860,April,4.0,1.0,7.5,Haiti,ANSE-A-VEAU,18.52,-73.35,,,,,
1861,February,4.0,1.0,8.5,Indonesia,SW. SUMATRA,-1.0,97.5,3.0,1105.0,,,
1861,March,4.0,1.0,7.0,Indonesia,SW. SUMATRA,0.009,98.0,2.0,950.0,,96.0,
1861,April,4.0,1.0,7.0,Indonesia,SW. SUMATRA,1.0,97.5,1.5,,,,
1861,October,4.0,1.0,7.4,Japan,OFF MIYAGI,38.5,142.0,2.0,,,70.0,
1865,November,4.0,1.0,8.0,Tonga,TONGA ISLANDS,-19.5,-173.5,3.0,,,20.0,
1867,May,4.0,1.0,,Norway,WESTERN NORWAY,58.667,6.167,3.0,,,,
1867,September,4.0,1.0,7.1,Greece,"PELOPONNESUS, GREECE",36.4,22.2,4.0,,,,
1867,November,4.0,1.0,7.5,Usa Territory,VIRGIN ISLANDS,18.1,-65.1,,24.0,,,
1867,December,4.0,1.0,7.0,"Taiwan, Province of China",E. CHINA SEA,25.34,121.91,2.0,580.0,,,
1868,April,4.0,1.0,7.9,United States,HAWAII,19.0,-155.5,3.5,77.0,,,
1868,August,4.0,1.0,8.5,Chile,NORTHERN CHILE,-18.6,-71.0,3.5,25000.0,300.0,,
1868,August,4.0,1.0,8.5,Chile,NORTHERN CHILE,-18.6,-71.0,,,,,
1868,October,4.0,1.0,7.6,New Zealand,NEW ZEALAND,-40.2,173.0,,,,,
1872,March,4.0,1.0,7.4,Japan,SW. HONSHU ISLAND,34.9,132.0,1.0,804.0,,5796.0,200.0
1872,August,4.0,1.0,,United States,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",52.2,-168.5,0.0,,,,
1872,,4.0,1.0,,Iceland,ICELAND,,,,,,,
1875,March,4.0,1.0,,Italy,ADRIATIC SEA,44.2,12.4,4.0,,,,
1877,May,4.0,1.0,8.3,Chile,NORTHERN CHILE,-21.5,-70.5,3.5,2385.0,,,
1884,July,4.0,1.0,6.2,Eritrea,OFFSHORE MASSAWA,15.7,39.6,,,,,
1886,September,4.0,1.0,7.3,United States,"CHARLESTON, SC",32.9,-80.0,,,,,
1887,September,4.0,1.0,,Haiti,MOLE SAINT-NICOLAS,19.7,-74.4,,,,,
1888,September,4.0,1.0,6.1,Greece,GULF OF CORINTH,38.2,22.1,,,,,
1889,September,4.0,1.0,8.0,Indonesia,N. MOLUCCAS ISLANDS,1.0,126.25,2.5,,,,
1892,May,4.0,1.0,7.5,Usa Territory,"GUAM, MARIANA ISLANDS",14.0,143.3,0.5,,,,
1892,December,4.0,1.0,6.5,Japan,SW. HONSHU ISLAND,37.0,136.8,0.0,1.0,,2.0,
1893,February,4.0,1.0,6.5,Greece,SAMOTHRACE,40.5,25.5,3.0,1.0,,,
1893,June,4.0,1.0,7.0,Russian Federation,S. KURIL ISLANDS,43.3,147.5,1.5,,,,
1893,June,4.0,1.0,6.9,Japan,"NEMURO, JAPAN",42.5,145.5,1.0,,,,
1894,March,4.0,1.0,7.9,Japan,SE. HOKKAIDO ISLAND,42.5,146.0,1.5,1.0,,,6.0
1894,July,4.0,1.0,6.7,Turkey,MARMARA SEA,40.6,28.7,3.0,,,,
1894,October,4.0,1.0,7.0,Japan,"YAMAGATA, JAPAN",38.9,139.8,-1.0,726.0,,3858.0,
1895,March,4.0,1.0,7.3,Papua New Guinea,SOLOMON SEA,-8.4,150.1,2.0,,,,
1895,May,4.0,1.0,,Chile,NORTHERN CHILE,-18.0,-71.0,,,,,
1896,January,4.0,1.0,7.6,Japan,"KASHIMA, JAPAN",36.5,141.0,-2.5,,,,
1896,June,4.0,1.0,8.3,Japan,SANRIKU,39.5,144.0,3.8,27122.0,,11000.0,13247.0
1896,,4.0,1.0,,Iceland,ICELAND,,,,,,,
1897,February,4.0,1.0,7.4,Japan,SANRIKU,38.1,141.9,,,,,
1897,August,4.0,1.0,7.7,Japan,SANRIKU,38.0,143.7,1.0,,,,
1897,September,4.0,1.0,8.7,Philippines,SULU SEA,6.0,122.0,2.5,13.0,,,14.0
1898,April,4.0,1.0,7.2,Japan,HONSHU ISLAND,38.6,142.0,-3.0,,,,2.0
1899,September,4.0,1.0,8.2,United States,"CAPE YAKATAGA, AK",60.0,-142.0,0.0,,,,
1899,November,4.0,1.0,7.1,Japan,SEIKAIDO,31.9,132.0,-1.0,,,,
1899,November,4.0,1.0,6.9,Japan,SEIKAIDO,32.7,132.3,-2.0,,,,
1900,September,4.0,1.0,6.8,Papua New Guinea,BISMARCK SEA,-4.0,152.0,,,,,
1901,June,4.0,1.0,6.0,Japan,"IWATE, JAPAN",39.0,143.0,,,,,
1901,June,4.0,1.0,7.5,Japan,RYUKYU ISLANDS,28.0,130.3,-1.5,,,,
1901,August,4.0,1.0,7.2,Japan,OFF NORTHEAST COAST HONSHU,40.5,142.5,-0.5,,,,
1901,August,4.0,1.0,7.9,New Caledonia,LOYALTY ISLANDS,-22.0,170.0,,,,,
1901,August,4.0,1.0,7.4,Japan,OFF NORTHEAST COAST HONSHU,40.6,142.3,-1.0,18.0,,8.0,
1901,August,4.0,1.0,6.3,Japan,OFF NORTHEAST COAST HONSHU,40.5,142.5,,,,,
1904,June,4.0,1.0,8.3,Russian Federation,"KAMCHATKA PENINSULA, RUSSIA",52.0,159.0,2.0,,,,
1905,September,4.0,1.0,7.1,Italy,TYRRHENIAN CALABRIA,38.67,16.07,4.0,557.0,,6700.0,2000.0
1905,October,4.0,1.0,5.1,Russian Federation,BLACK SEA,44.5,37.5,2.0,,,,
1906,January,4.0,1.0,8.8,Ecuador,OFF COAST,1.0,-81.5,3.0,1000.0,,,
1906,January,4.0,1.0,,"Venezuela, Bolivarian Republic of",CARACAS,10.5,-66.916,,,,,
1906,February,4.0,1.0,,Ecuador,COLOMBIA-ECUADOR,1.0,-81.0,0.5,,,,
1906,September,4.0,1.0,8.0,Papua New Guinea,SOLOMON SEA,-7.0,149.0,1.5,,,,
1907,January,4.0,1.0,8.2,Indonesia,NW. SUMATRA,2.681,95.53,2.0,2188.0,,,
1907,January,4.0,1.0,6.2,Jamaica,JAMAICA,18.667,-76.237,,1000.0,30.0,,
